path,folder,score,wins,losses,duels,last_seen_iso,hidden
I:\OneDrive\Discord Downloader Output\+\Grabber\juantriforce\5091305.png,I:\OneDrive\Discord Downloader Output\+\Grabber\juantriforce,1031.26,2,0,2,2025-09-19T02:06:15Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kaltespur\5530877.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kaltespur,1031.26,2,0,2,2025-09-20T02:29:54Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kaltespur\5576745.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kaltespur,1031.26,2,0,2,2025-09-19T02:29:14Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kaltespur\5805383.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\kaltespur,1031.26,2,0,2,2025-10-03T01:44:34Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kurus\5045879.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kurus,1031.26,2,0,2,2025-10-25T20:39:08Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kurus\5656116.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kurus,1031.26,2,0,2,2025-09-20T13:33:39Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro\4297631.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro,1031.26,2,0,2,2025-09-20T03:23:00Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro\4408502.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro,1031.26,2,0,2,2025-09-20T03:41:40Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro\4422734.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro,1031.26,2,0,2,2025-09-20T13:23:35Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro\4509082.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro,1031.26,2,0,2,2025-09-20T02:29:01Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro\4647327.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro,1031.26,2,0,2,2025-10-25T20:48:44Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro\4762083.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro,1031.26,2,0,2,2025-09-19T05:09:38Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro\5468765.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro,1031.26,2,0,2,2025-09-20T13:35:47Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\marcus_gray\4700750.png,I:\OneDrive\Discord Downloader Output\+\Grabber\marcus_gray,1031.26,2,0,2,2025-10-25T20:54:42Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\marsminer\2136802.png,I:\OneDrive\Discord Downloader Output\+\Grabber\marsminer,1031.26,2,0,2,2025-09-23T04:48:31Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\nuclear54\4569543.png,I:\OneDrive\Discord Downloader Output\+\Grabber\nuclear54,1031.26,2,0,2,2025-09-19T02:27:31Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\prsmrti\2195244.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\prsmrti,1031.26,2,0,2,2025-09-19T02:04:41Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\ralek\5355780.png,I:\OneDrive\Discord Downloader Output\+\Grabber\ralek,1031.26,2,0,2,2025-09-19T02:12:02Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\ralek\5632842.png,I:\OneDrive\Discord Downloader Output\+\Grabber\ralek,1031.26,2,0,2,2025-09-19T04:48:56Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\reysi\2324634.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\reysi,1031.26,2,0,2,2025-09-19T04:26:10Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\reysi\5684260.gif,I:\OneDrive\Discord Downloader Output\+\Grabber\reysi,1031.26,2,0,2,2025-09-19T05:00:28Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\ricky945\4548178.png,I:\OneDrive\Discord Downloader Output\+\Grabber\ricky945,1031.26,2,0,2,2025-09-19T04:49:03Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\romarom\3510718.png,I:\OneDrive\Discord Downloader Output\+\Grabber\romarom,1031.26,2,0,2,2025-10-03T02:14:42Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\seibear\4434943.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\seibear,1031.26,2,0,2,2025-10-25T20:52:47Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\strayserval\4676385.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\strayserval,1031.26,2,0,2,2025-09-20T03:50:45Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat\4536902.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat,1031.26,2,0,2,2025-10-14T06:23:19Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat\4749998.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat,1031.26,2,0,2,2025-09-19T05:01:32Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat\4784622.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat,1031.26,2,0,2,2025-09-20T03:41:36Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat\5624061.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat,1031.26,2,0,2,2025-10-25T20:57:05Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat\5816154.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\swaybat,1031.26,2,0,2,2025-09-20T03:36:45Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\theblueberrycarrots\4554201.png,I:\OneDrive\Discord Downloader Output\+\Grabber\theblueberrycarrots,1031.26,2,0,2,2025-09-20T13:27:25Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\tinygaypirate\4616220.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\tinygaypirate,1031.26,2,0,2,2025-09-19T00:58:19Z,0
